Field,Type,Português (Brasil),Inglês,Espanhol,Francês,Italiano,Alemão
ProductName,Text,"Panoptes Patrol","Panoptes Patrol","Panoptes Patrol","Panoptes Patrol","Panoptes Patrol","Panoptes Patrol"
Description,Text,"PANOPTES PATROL é um gerenciador de arquivos e pastas que monitora modificações em tempo real, detectando criações, alterações, renomeações e exclusões. Possui interface gráfica com PySide6, recursos de exportação de dados e visualização estatística com gráficos. Desenvolvido por Fernando Nillsson Cidade. Recomendado para monitoramento de diretórios em Windows 10 ou superior. NOTA: Este aplicativo requer privilégios de administrador para funcionar corretamente. O aplicativo não compartilha a localização do usuário, não permite compras de bens digitais, não inclui recompensas em dinheiro ou criptomoedas, não é um navegador de Internet nem um motor de pesquisa, e não é principalmente um produto de notícias ou educativo.","PANOPTES PATROL is a file and folder manager that monitors real-time changes, detecting creations, modifications, renamings and deletions. It features a PySide6 graphical interface, data export options and statistical visualization with charts. Developed by Fernando Nillsson Cidade. Recommended for monitoring directories on Windows 10 or higher. NOTE: This application requires administrator privileges to function properly. The app does not share the user's physical location, does not allow purchases of digital goods, does not include monetary rewards or cryptocurrencies, is not an Internet browser or search engine, and is not primarily a news or educational product.","PANOPTES PATROL es un gestor de archivos y carpetas que monitoriza cambios en tiempo real, detectando creaciones, modificaciones, renombramientos y eliminaciones. Cuenta con una interfaz gráfica basada en PySide6, opciones de exportación de datos y visualización estadística mediante gráficos. Desarrollado por Fernando Nillsson Cidade. Recomendado para la supervisión de directorios en Windows 10 o superior. NOTA: Esta aplicación requiere privilegios de administrador para funcionar correctamente. La aplicación no comparte la ubicación física del usuario, no permite la compra de bienes digitales, no incluye recompensas monetarias o criptomonedas, no es un navegador de Internet ni un motor de búsqueda, y no es principalmente un producto de noticias o educativo.","PANOPTES PATROL est un gestionnaire de fichiers et de dossiers qui surveille les modifications en temps réel, détectant créations, modifications, renommages et suppressions. Il offre une interface graphique PySide6, des options d'exportation de données et une visualisation statistique avec des graphiques. Développé par Fernando Nillsson Cidade. Recommandé pour la surveillance des répertoires sous Windows 10 ou supérieur. REMARQUE : Cette application nécessite des privilèges administrateur pour fonctionner correctement. L'application ne partage pas l'emplacement physique de l'utilisateur, ne permet pas d'acheter des biens numériques, n'inclut pas de récompenses monétaires ou de crypto-monnaies, n'est pas un navigateur Internet ou un moteur de recherche, et n'est pas principalement un produit d'information ou éducatif.","PANOPTES PATROL è un gestore di file e cartelle che monitora le modifiche in tempo reale, rilevando creazioni, modifiche, rinominazioni ed eliminazioni. Dispone di un'interfaccia grafica basata su PySide6, opzioni di esportazione dati e visualizzazioni statistiche tramite grafici. Sviluppato da Fernando Nillsson Cidade. Consigliato per il monitoraggio delle directory su Windows 10 o superiore. NOTA: Questa applicazione richiede privilegi di amministratore per funzionare correttamente. L'applicazione non condivide la posizione fisica dell'utente, non consente l'acquisto di beni digitali, non include ricompense monetarie o criptovalute, non è un browser Internet o un motore di ricerca e non è principalmente un prodotto di notizie o educativo.","PANOPTES PATROL ist ein Datei- und Ordner-Manager, der Echtzeitänderungen überwacht, erkennt Erstellungen, Modifikationen, Umbenennungen und Löschungen. Es bietet eine PySide6-GUI, Datenexportoptionen und statistische Visualisierungen mit Diagrammen. Entwickelt von Fernando Nillsson Cidade. Empfohlen für die Überwachung von Verzeichnissen unter Windows 10 oder höher. HINWEIS: Diese Anwendung benötigt Administratorrechte, um ordnungsgemäß zu funktionieren. Die App teilt nicht den physischen Standort des Benutzers, ermöglicht keine Käufe digitaler Güter, enthält keine Geldbelohnungen oder Kryptowährungen, ist kein Internet-Browser oder eine Suchmaschine und ist kein primär nachrichtliches oder pädagogisches Produkt."
WhatsNew,Text,"Versão 0.0.1 - Lançamento inicial.","Version 0.0.1 - Initial release.","Versión 0.0.1 - Lanzamiento inicial.","Version 0.0.1 - Lancement initial.","Versione 0.0.1 - Rilascio iniziale.","Version 0.0.1 - Erste Version."
ProductFeatures1,Text,"Monitoramento em tempo real de arquivos e pastas.","Real-time monitoring of files and folders.","Monitorización en tiempo real de archivos y carpetas.","Surveillance en temps réel des fichiers et des dossiers.","Monitoraggio in tempo reale di file e cartelle.","Echtzeitüberwachung von Dateien und Ordnern."
ProductFeatures2,Text,"Interface gráfica intuitiva com PySide6.","Intuitive graphical interface with PySide6.","Interfaz gráfica intuitiva con PySide6.","Interface graphique intuitive avec PySide6.","Interfaccia grafica intuitiva con PySide6.","Intuitive grafische Benutzeroberfläche mit PySide6."
ProductFeatures3,Text,"Exportação de dados em múltiplos formatos (Excel, CSV, JSON, XML, SQLite).","Data export in multiple formats (Excel, CSV, JSON, XML, SQLite).","Exportación de datos en múltiples formatos (Excel, CSV, JSON, XML, SQLite).","Exportation de données dans plusieurs formats (Excel, CSV, JSON, XML, SQLite).","Esportazione dati in più formati (Excel, CSV, JSON, XML, SQLite).","Datenexport in mehreren Formaten (Excel, CSV, JSON, XML, SQLite)."
ProductFeatures4,Text,"Visualização estatística detalhada com gráficos interativos.","Detailed statistical visualization with interactive charts.","Visualización estadística detallada con gráficos interactivos.","Visualisation statistique détaillée avec des graphiques interactifs.","Visualizzazione statistica dettagliata con grafici interattivi.","Detaillierte statistische Visualisierung mit interaktiven Diagrammen."
ProductFeatures5,Text,"Suporte multilíngue e fácil configuração.","Multilingual support and easy setup.","Soporte multilingüe y configuración sencilla.","Support multilingue et configuration facile.","Supporto multilingue e configurazione semplice.","Mehrsprachige Unterstützung und einfache Einrichtung."
ProductFeatures6,Text,"Detecção de operações de criação, exclusão, modificação e renomeação.","Detection of creation, deletion, modification, and renaming operations.","Detección de operaciones de creación, eliminación, modificación y renombramiento.","Détection des opérations de création, suppression, modification et renommage.","Rilevamento di operazioni di creazione, eliminazione, modifica e ridenominazione.","Erkennung von Erstellung, Löschung, Modifikation und Umbenennung."
ProductFeatures7,Text,,,,,,
